,Edeposited,totalInitialE,totalMCPulseCharge,totalDOMHits
bins,100,100,100,100
min,0,0,0,0
max,1000,20000,4000,2500
legend,115.0 GeV -5e-06 eps 250000.0 events 1e2_2e5 ene 50.0 m,115.0 GeV -5e-06 eps 250000.0 events 1e2_2e5 ene 50.0 m,115.0 GeV -5e-06 eps 250000.0 events 1e2_2e5 ene 50.0 m,115.0 GeV -5e-06 eps 250000.0 events 1e2_2e5 ene 50.0 m
color,#444444,#444444,#444444,#444444
weight,,,,
0,0.0,5982.086705495778,188.07894889144518,96
1,809.7460157044661,868.8422442442354,106.33386502839858,91
2,475.7708496817262,490.7594510315382,96.26394162880024,81
3,535.1569827800988,620.6180013624332,103.99532304739114,96
4,1262.6409492568714,1285.3413052717171,91.1675935666135,59
5,385.40472954605247,435.9862253726235,68.26669645070797,62
6,594.730353317967,3480.1159056603265,143.6567578795657,102
7,923.193770197866,1106.7993895024622,104.70238937286194,95
8,519.9940529544751,629.5144962675643,108.80429864593316,77
9,2800.637504546982,3260.3034530167906,140.92952560490812,96
10,1217.6263448902946,1274.8712680371777,108.22247886944388,90
11,403.94350019253835,368.40960409035006,116.41131822078023,111
12,649.2099114282091,619.120982375822,243.44599062082125,208
13,132.87132440789264,357.15441691909996,139.00048065325245,76
14,266.0676645025558,274.9394586298904,92.14850764814764,83
15,907.3099087875735,955.9439801856252,134.6595717750024,97
16,553.4408263679993,518.2330117160384,148.92368175945012,126
17,1436.2657118658344,1391.37395953053,144.15569672523998,124
18,336.5100259127407,382.79192787884836,118.03890295682504,90
19,387.4163279426102,611.0408449212925,113.19393691676669,95
20,252.96467550078114,679.4735422043832,120.19565509341192,90
21,1251.5905648798814,1305.2458050480627,143.77237688470632,113
22,267.2944821076312,260.9877180028518,92.21280327253044,73
23,2653.525704681232,2636.231514403055,131.70595442433842,91
24,721.6952518766532,587.1920308511185,90.29123754930333,89
25,952.3002285254288,1191.9831416379438,160.58831562682462,116
26,698.6731189532796,549.8471544012657,119.23623559460975,99
27,953.7346268557003,941.9500890595677,177.0228415451711,132
28,5272.293102659556,5324.84557066909,241.43888189620338,188
29,8.42372217194665,447.8894568737528,81.73912495853438,64
30,4940.6906380366645,3368.122433695991,194.27130362956086,142
31,613.6779509486753,785.0736502163857,101.29561845515855,85
32,1260.6445555069622,1581.1477964664832,115.07686192197434,86
33,250.62069343942744,244.29718281667192,91.92405872681411,86
34,207.65151114592743,820.6815084678608,169.82715110009303,104
35,1780.357131464915,2238.407902243377,158.53192327659417,108
36,2338.1749920584416,2114.3337676863302,80.20438236417249,91
37,1691.8136114013162,2776.063059042232,204.9681016319082,141
38,957.2765843655216,1257.874227118961,120.81966715911403,108
39,0.9242893675601636,559.3460697488376,98.3137971230899,89
40,2248.4453100116084,2371.3854611113857,82.56182136876305,75
41,916.2825709280694,1045.3472454956252,104.43314885825384,80
42,292.2570809150387,401.89152199371574,82.42431697249413,66
43,198.8402994352694,527.7040784047899,148.4743598496134,87
44,805.975153972272,833.068181376857,124.81436307219883,94
45,1016.244082374454,1271.301969448383,168.40199614292942,123
46,580.8871731262802,698.3822772206863,92.66247855685651,85
47,391.05757201974154,548.1983794497328,95.36751155700767,74
48,476.2714316062247,517.6601574766207,101.10198185636546,85
49,1632.0506449619897,1031.8027194871715,131.33937935583526,89
50,1195.2947138160853,824.0256547849517,153.25836871471256,117
51,646.2212892149521,549.0011531387329,129.75416974286782,105
52,1724.1276941580552,1865.8083352409626,185.91681924225122,187
53,131.2662197534541,250.61578224665482,86.52023996319622,70
54,513.191396275856,1334.2419009897458,139.2575915078196,117
55,155.81635715478546,278.2737421028795,84.43451484292746,74
56,191.0684664000155,496.0574525303848,99.97911039920291,95
57,722.9670622267176,1423.5863677554726,161.8725938247935,112
58,942.1917474417298,633.0373532619815,100.72276153624989,97
59,1051.2843747438646,1120.6660212350298,97.78281943872571,88
60,18399.643991684025,18275.700300183762,255.74966330516327,232
61,140.33341083096718,1336.4073941026886,91.77442419489671,74
62,465.99396623056066,493.7876558425214,130.16244640678633,97
63,660.5382140011934,694.4295343981657,99.1369177255583,117
64,457.9209049760068,560.2130035709231,75.55841501138639,78
65,767.2951246238213,894.251044520528,114.33021017466672,91
66,193.28964909059212,339.49458961788696,99.01601616526023,87
67,471.3581447237701,448.41579053160604,121.90887399256462,103
68,1480.7876278259598,1399.1539540495219,135.59314522641944,103
69,769.5220275473039,13538.492349405773,161.89592167529918,139
70,859.7329525058681,1001.4095632326723,141.15817195235286,127
71,10.309923873018988,482.52751903314766,113.13931823331222,84
72,389.45815422421634,426.81496160157417,126.09331261599436,107
73,494.5836179000841,673.767283298107,104.68583892920287,101
74,505.03837726428276,743.2492276027062,182.85724407574162,118
75,325.860214557783,345.85328579757106,136.08700828799192,108
76,100.49017459531703,391.60040375079075,91.48308546748012,82
77,1264.005722242782,1229.6605342973874,157.2147699079942,144
78,1483.6250390225603,1394.501162702607,315.5292284678435,207
79,503.52566497479705,436.8509003797826,118.67972678432125,88
80,794.2470063518994,842.7851400881991,124.8153830212832,95
81,222.27374535893622,331.82359298263464,98.8983371569775,91
82,537.1940793651961,433.2476175460447,108.7262068434502,101
83,536.764846605754,485.8665086126575,123.74637929271557,81
84,1652.0876416703954,1952.5241203388641,101.62033359936322,94
85,487.9601429473604,382.8745232100141,214.9829725571908,168
86,1242.1153622942345,1298.747942181921,140.49649861620128,92
87,299.7821785201599,390.9643468872034,104.5364284584648,90
88,235.6184088090854,542.0835141541172,110.01701866348594,77
89,919.1844706634245,1217.3620168242733,119.30234870972345,106
90,260.82160991542867,555.3963575199027,128.74973569717258,98
91,285.8520566515808,3675.046589183853,157.17999330617022,132
92,573.1435316725139,549.5154072621629,142.3441815325641,119
93,162.6497038456838,804.4720607729812,91.2575494601042,97
94,2345.174865253396,2520.658452718921,198.42318196891574,150
95,689.2707891707415,926.1596641664178,128.3432238715468,99
96,1623.3900610543349,1247.6756321428495,134.9648169435095,112
97,1076.614877148039,959.9081954227161,133.10835086306906,109
98,453.65948844903414,514.9377791523912,119.42811911337776,100
99,1754.0847659856347,1977.5029302634757,199.58413568150718,125
100,270.6310563216279,378.2010959882409,139.80787107005017,110
101,43.964489753851126,670.1660335524755,114.320265737937,103
102,689.4421291050428,772.9499280993848,154.5985665718472,104
103,350.8404629345689,523.0442822315042,128.76565140672028,90
104,419.44639229351003,324.58468489189727,122.73509199579712,105
105,780.1187839677793,558.3029093455034,159.0028143992531,122
106,111.93623850806847,740.1704328245919,153.74798549069965,122
107,225.08085069153373,770.0850092491405,127.3873078058241,106
108,345.6350614552571,1183.0143268314898,134.49676579469815,124
109,1868.0698962488864,1388.7486271800735,176.15205108138616,159
110,484.05162697724074,359.2652648468006,135.0693000786705,101
111,473.0062757941873,516.193161431808,155.9448289110005,119
112,0.0,466.45980061683485,106.89077404013369,87
113,706.765742143532,681.7755525083901,126.85854339471553,107
114,261.7242393293883,959.8736491657733,138.81628268264467,111
115,35.99475261286605,378.54563825108266,116.6715578888543,81
116,470.3039360176192,630.9424292695173,116.85742260527331,108
117,1218.0606758084275,1175.0579985318907,214.69734409209195,184
118,958.0384973772593,697.5194259800039,130.08979907940375,122
119,695.3596992439611,527.9217380209275,112.2112153377384,97
120,559.0049243478354,612.4146963260887,124.58801158281858,98
121,635.6822754757816,644.9762551353206,132.03820950887166,108
122,0.0,380.10093057983613,102.06136428692844,80
123,869.6573209659261,954.433445769168,93.58531583053991,94
124,1150.9269330089348,1200.9067695096294,119.93010830681305,99
125,414.18820874958476,594.9833106668011,97.89509753778111,88
