,Edeposited,totalInitialE,totalMCPulseCharge,totalDOMHits
bins,100,100,100,100
min,0,0,0,0
max,1000,20000,4000,2500
legend,130.0 GeV -5e-06 eps 10000.0 events 1e3_1e6 ene 50 m,130.0 GeV -5e-06 eps 10000.0 events 1e3_1e6 ene 50 m,130.0 GeV -5e-06 eps 10000.0 events 1e3_1e6 ene 50 m,130.0 GeV -5e-06 eps 10000.0 events 1e3_1e6 ene 50 m
color,#ff6361,#ff6361,#ff6361,#ff6361
weight,,,,
0,1896.5512427341155,2791.1154968618757,161.0102093280293,85
1,2173.6737667229377,2108.674293539759,124.66566131767468,82
2,184.4747788477831,1082.770674464591,78.7833982254233,70
3,759.338495344904,1814.37448649915,136.93759407382458,98
4,894.0590258961315,1049.9176052134271,143.5367710176506,96
5,1275.1821044790922,1313.400046037303,139.18439848945127,109
6,3222.2286792267096,3446.0303904969287,99.0398335683276,64
7,1048.4186480481246,1031.4802594685912,112.18514257166862,97
8,3201.4077807861936,2902.222069271333,186.81377262590104,150
9,1041.6744867035763,1050.0061813219352,99.60744984587654,67
10,1018.2563372279044,2867.7762171996806,73.53186010359786,76
11,2976.048597968657,2559.5293183593617,101.55998908594484,94
12,1588.0881775832254,7862.231171456971,195.42145538341356,98
13,1974.5325596774353,2219.8767400702764,125.51856720409705,98
14,1292.3472740533857,1355.849026211311,102.80727880992345,87
15,2953.330069154551,3598.4142913867227,187.0859947334975,128
16,8733.059321548653,8764.094041546712,429.3182988646149,215
17,1662.2320061550397,1790.0289583065678,114.97592910128878,101
18,2379.2698853576303,2107.310934978102,144.80981387058273,105
19,80.45533943135479,1223.100960792619,121.44865986210061,89
20,711.9701027620167,5822.33621265511,277.04217705738847,164
21,729.7221367317529,4622.012777731957,213.75698236055905,152
22,4505.541943535003,4395.726477853517,153.29624738695566,93
23,1357.1102109187634,1130.546739510601,139.45207585339085,109
24,3976.334428826708,2802.86137446907,241.56250873311228,155
25,7.366464680899298,3122.3354056011262,119.71311249851715,86
26,3854.7641844755435,3688.7930496778836,166.0220313074242,126
27,3960.7883468597,3936.0108990859535,133.12653285759734,113
28,0.0,1865.4897642806372,132.80781422523432,103
29,1039.192852728825,1121.579427067048,137.25739367760252,82
30,2159.8100295471745,2450.1539279815293,234.86949362055748,151
31,1298.82681984621,1585.7075814985901,158.4280251763994,117
32,2637.494272142979,3024.8506158557107,139.8578333510086,120
33,2393.452567875911,1564.9470794970412,145.39049187279306,108
34,1313.1126519606053,1271.2903165587172,156.63335288321832,126
35,2347.5906053656076,2331.9813576122883,116.40229428111343,78
36,8117.208256422226,8095.160851465811,385.39654382810113,164
37,2741.063954296483,1511.3396937467865,140.11431870756496,105
38,968.9909323154695,1152.3337019435457,85.77453276119195,91
39,2651.043048238968,2286.9853391897277,178.600278961414,126
40,0.0,1423.7540880375886,115.05478562129429,81
41,1060.751191094457,1206.8491563243979,102.92571645883436,102
42,1125.2851009066483,1284.4701126493158,167.13349422992906,98
43,2619.252550513321,4918.167655882337,181.11938766756793,108
44,2441.0477281257417,2849.780533293128,168.34128245152533,134
45,3341.341340457594,4108.244960811962,248.5376999397704,120
46,1540.9492967580375,1569.6384255081975,111.50442153461199,121
47,974.2260549946312,2433.2885393452684,120.84044258017093,94
48,535.686484337135,1085.222472472893,120.95297172886785,97
49,0.0,4697.931728007907,328.9082165128784,195
50,1776.9931121320471,1829.9499374541188,188.1724120189465,112
51,1387.675168359498,1604.7922003173476,108.83666054205969,98
52,5096.199117535378,5311.376359882522,261.59949964034604,156
53,1010.5901027256327,1018.4044205558555,346.3608406713756,199
54,2426.781403206545,1713.9311239675803,155.12325612446875,100
55,1246.7222318806166,1113.5757895017402,113.72017018205952,103
56,156.95251494928323,1419.1388583183775,119.64854118681978,84
57,2461.605035905445,1855.8095980401522,189.95028207043651,130
58,2072.9381271222437,1659.4275581895631,182.7750318876915,134
59,3275.2749736966357,3355.48395971186,144.48257947614184,122
60,1970.0318947420537,2512.454648284459,180.78848822970758,129
61,0.0,7247.2694797121185,89.19102059624856,72
62,4838.081897332857,3143.787171496365,167.1104744033073,112
63,3076.9353337044213,2744.6224311164497,216.75444284558762,150
64,1765.544536094497,1860.2522658402804,170.68797352703405,128
65,1173.1697063893002,1202.0295288344241,212.30660167208407,197
66,605.2644782083944,2290.9444017173687,259.6644795926336,138
67,3405.9662174051623,3181.754688095274,173.8971990537102,110
68,1749.0231895666443,1865.9592934311336,153.02733905779314,103
69,49177.08650919059,54265.35977120925,4248.941178459322,283
70,2178.1127369891424,2275.0567132993756,580.792253171523,260
71,2691.877719940689,2390.7386186630306,329.8842155015882,274
72,789.9478299303257,2310.643392587446,126.71361595101189,103
73,7512.059397297702,6822.166920414543,264.6932583979942,177
74,1147.0510000236204,2478.9592503791296,178.3464930462651,156
75,1119.959702281479,1089.4400475803661,120.74768271576613,97
76,1306.7292460137228,2025.4274556149226,106.02748977812007,93
77,848.7332100553782,1110.3028544257697,125.35348428960424,106
78,274.6711708212172,1368.042158171947,272.3160541112593,190
79,1171.995256628706,1826.7482992263172,193.23568587496993,132
80,2336.4565275602467,1620.0635229029185,232.07602678364492,178
81,3268.2778908195014,2697.049689762067,220.0379983793173,141
82,1375.6001530640808,1366.5591426677274,143.32677089143544,125
83,652.1131114204607,1649.260729875432,136.24865416437387,120
84,985.2092821292914,1082.9330618049746,91.55246235569939,79
85,2515.8625664747574,2563.3829615175387,132.6295025840518,108
86,0.0,1360.6491378097958,140.70343283034163,108
87,1567.1395342225119,1698.9015359159634,123.51360120589379,115
88,1940.8254045232022,2123.1118352160693,158.5086386015173,139
89,370.41893107959845,2621.313660553653,124.86955572763691,112
